elem;ini;fin;"deficit
";exceso;Tmax;Tmin;ref
Establecimiento del sombrio permanente  y transitorio (Forestales);1;6;Reducción en la humedad del suelo,  Afectacions en el  establecimiento del cultivo, Endurecimiento del suelo, Menor disponibilidad de nutrientes;Saturación del suelo, Erosión, Compactación, pérdida de nutrientes;Evaporación rápida, Estrés térmico, Descomposición acelerada;Disminución de actividad microbiana, Lentitud en descomposición de materia orgánica;
Preparacion del terreno (Trazado, Ahoyado y drenajes);6;6;Reducción en la humedad del suelo,  Afectacions en el  establecimiento del cultivo, Endurecimiento del suelo, Menor disponibilidad de nutrientes;Saturación del suelo, Erosión, Compactación, pérdida de nutrientes;Evaporación rápida, Estrés térmico, Descomposición acelerada;Disminución de actividad microbiana, Lentitud en descomposición de materia orgánica;
Aplicación de enmiendas (Corrección de acidez y enmienda organica);6;6;Baja disponibilidad de enmiendas y agua, Deficiencia de nutrientes esenciales, Baja eficiencia en la incorporación de enmiendas, Reducción en la actividad microbiana, Afectación de la mineralización de materia orgánica;Lixiviación acelerada de iones, Anegamiento, Erosión, Pérdida de enmiendas por escorrentía, Fermentación anaerobia en materia orgánica mal manejada;Evaporación rápida de la humedad del suelo, Afectación en la disolución o reacción de las enmiendas, Descomposición rápida de materia orgánica, Pérdida de nutrientes por volatilización, Estrés térmico en microorganismos del suelo, Reduciendo en la eficiencia de microorganismos del suelo;Retraso en los efectos esperados de las enmiendas, Lenta mejora del suelo, Baja actividad microbiana en suelos fríos o mal aireados;
Establecimiento en campo;7;7;"Deshidratación de plántulas recién trasplantadas, Falta de humedad en el hoyo de siembra, Limitación en la activación de raíces, Limitación en la absorción de nutrientes,
Reducción de la tasa de crecimiento ";"Encharcamiento del hoyo de siembra, Asfixia radicular (anoxia), Afectación en el desarrollo del sistema radicular,
Aumento en la incidencia de enfermedades, Phytophthora; Pythium; Fusarium, Lavado de nutrientes (especialmente N)";"Estrés térmico en la planta, Reducción en la tasa de crecimiento, 
Daños en hojas jóvenes, 
Marchitamiento rápido en horas del mediodía, Afectación del sistema radicular superficial";Crecimiento lento o nulo de raíces y brotes, Susceptibilidad a patógenos de cuello y raíz, Retraso en adaptación al campo;
Fertilización edáfica 1;9;9;Baja absorción de nutrientes;Pérdida de nutrientes esenciales por lixiviación, Anegamiento del suelo;Afectación en la síntesis de giberelinas y auxinas, Afectaciones en el crecimiento y asimilación de nutrientes, Pobre respuesta a la fertilización, Reducción en la eficiencia del uso de nutrientes aplicados;Ralentización metabólica, Baja absorción de nutrientes;
Deschuponado (cada mes);9;16;Reducción de la capacidad de cicatrizar heridas del deschuponado, Baja brotación posterior, Limitación del crecimiento de nuevos brotes, Entrada de patógenos por heridas no cicatrizadas;"Hongos patógenos (Phytophthora; Ceratocystis; etc),Limitación en la absorción de nutrientes necesarios para la regeneración,
Mayor rebrote de chupones en clones vigorosos";Rápida deshidratación en las heridas, Quemaduras o daño tisular en la zona podada, Cicatrización deficiente, Limitación en la regeneración ordenada de brotes, Atracción de insectos a las heridas expuestas (Escarabajos vectores de enfermedades);Cicatrización muy lenta de las heridas del deschuponado, Mayor exposición a patógenos;
Fertilización edáfica o foliar 2;13;13;Baja absorción de nutrientes;Pérdida de nutrientes esenciales por lixiviación, Anegamiento del suelo;Marchitamiento de hojas, Mayor densidad de estomas por unidad de área, Fotorespiración y desnaturalización de enzimas, Disminución de fotosintesís;Ralentización metabólica, Baja absorción de nutrientes;
Poda de formación (Antes de fertilización);20;20;Aborto floral, Secamiento de las plantas;Hongos saprófitos en cortes (Ceratocystis y Corticium salmonicolor (mal rosado)) ;Reducción de la capacidad de transpiración y regulación térmica, Exposición de tejidos jóvenes a deshidratación, Aumento de tejido muerto en ramas y tallos expuestos, Retraso en la cicatrización de cortes, Entrada de patógenos.;Disminución en el metabolismo de la planta,Reducción de la actividad cambial y la formación de callo cicatrizal, Retraso en la recuperación de los tejidos podados, Baja eficiencia fotosintetica, Proliferación de hongos en heridas mal cicatrizadas;
Control de arvenses y plateo (cada 2 meses);8;8;Baja retención de humedad del suelo;Disminución de la aireación del suelo tras el control.;Mayor insolación en raíces superficiales y cuello del árbol, Incremento de evapotranspiración en el área de plateo, Menor disponibilidad de humedad y nutrientes;Estrés radicular  en suelos descubiertos;
Fertilización edáfica 3;17;17;Baja absorción de nutrientes;Pérdida de nutrientes esenciales por lixiviación, Anegamiento del suelo;Afectación en la síntesis de giberelinas y auxinas, Afectaciones en el crecimiento y asimilación de nutrientes, Pobre respuesta a la fertilización, Reducción en la eficiencia del uso de nutrientes aplicados;Ralentización metabólica, Baja absorción de nutrientes;
Fertilización edáfica 4;21;21;Baja absorción de nutrientes;Pérdida de nutrientes esenciales por lixiviación, Anegamiento del suelo;Afectación en la síntesis de giberelinas y auxinas, Afectaciones en el crecimiento y asimilación de nutrientes, Pobre respuesta a la fertilización, Reducción en la eficiencia del uso de nutrientes aplicados;Ralentización metabólica, Baja absorción de nutrientes;
Raices ;6;23;"Reducción en la absorción de agua y nutrientes, Afectando del crecimiento general de la planta, Aumento de la tensión en el xilema,  
Potencial hidrico de las plantas se torna más negativo, Muerte de la planta";Daño en el sistema  radical, Asfixia de las raices, Muerte de la planta por  Phythoptora;"Formación de burbujas de aire en el xilema, Bloqueo del transporte de agua,
Afectación de raices superficiales, Limitación de la capacidad de absorción";Disminución en actividades de las raices;
Tallo y corteza;6;23;"Pérdida de turgencia, Reducción de la resistencia estructural 
";Mayor incidencia de phytophthora (Cancer de tallo), Fusarium.;Deshidratación y fisuras en la corteza, Entrada de patógenos.;"

Afectación de la funcionalidad del floema, Limitación en el movimiento de carbohidratos hacia raíces y órganos en crecimiento, Retraso en el engrosamiento del tallo";
Ramificación;6;23;Menor número de ramas laterales, Reducción en producción potencial;Mayor incidencia de phytophthora, Lasiodiplodia;"Estrés térmico, Disminución en la capacidad de la ramificación para sostener frutos
";"Retraso en la brotación y en la aparición de nuevas ramas, Crecimiento lento de las ramificaciones, Entrenudos cortos,
Tejidos tiernos más susceptibles a hongos";
Brotes y Yemas axilares ;6;23;Menor formación de brotes, Secamiento de brotes. Acortamiento en la distancia de los lanzamientos vegetativos;Mayor incidencia de escoba de bruja;Marchitez y muerte de brotes jóvenes, Aborto de yemas axilares, Necrosis por quemaduras solares;Retraso en la brotación, necrosis de yemas tiernas, Mayor susceptibilidad a infecciones, Desuniformidad en el desarrollo de ramas;
Hojas;6;23;"Defoliación de la planta, Cierre parcial de estomas para conservación de agua, Disminución en la absorción de CO2
";Mayor incidencia de phytophthora, Antracnosis;Marchitamiento de hojas, Mayor densidad de estomas por unidad de área, Fotorespiración y desnaturalización de enzimas, Disminución de fotosintesís;Reducción de la fotosíntesis, Retraso en la expansión foliar, Clorosis, Necrosis en bordes, Caída prematura de hojas, Debilitamiento tisular, Mayor susceptibilidad a patógenos foliares;
